                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5094,                 6.1105,                 1.3102,                      0,                      0,                      0,                      0,                 2.1328,                 5.3109,                 1.1607,                4.8e-05,                4.8e-05,                4.8e-05
                      2,                 2.1866,                 5.5152,                 1.0889,                      0,                      0,                      0,                      0,                  2.095,                 5.2668,                 1.1682,             9.8453e-05,             9.8453e-05,             9.8453e-05
                      3,                 2.0269,                 4.9204,                0.99417,                0.04167,                0.02174,                0.03904,                0.01532,                 2.0195,                 5.0775,                 1.1744,              0.0001473,              0.0001473,              0.0001473
                      4,                 1.9691,                 4.0893,                0.96801,                0.06149,                0.35784,                0.13997,                0.05664,                 2.0536,                 4.6415,                 1.1997,             0.00019453,             0.00019453,             0.00019453
                      5,                 1.9593,                 3.4781,                0.96502,                0.07345,                0.60596,                0.23501,                 0.1008,                 2.0289,                 4.3727,                  1.205,             0.00024016,             0.00024016,             0.00024016
                      6,                 1.9055,                 3.0431,                 0.9703,                0.04517,                0.75783,                0.31515,                0.13677,                 2.0829,                 3.8661,                 1.2407,             0.00028418,             0.00028418,             0.00028418
                      7,                 1.8045,                  2.684,                0.97101,                0.05342,                0.74008,                0.37694,                0.14992,                  2.191,                 3.6932,                 1.3217,             0.00032659,             0.00032659,             0.00032659
                      8,                 1.7804,                 2.4246,                0.95027,                0.58708,                0.33668,                0.48782,                 0.2169,                 2.2578,                 3.0026,                  1.521,             0.00035669,             0.00035669,             0.00035669
                      9,                 1.6861,                 2.2251,                0.95737,                0.62052,                0.43762,                0.58769,                0.26624,                 2.2656,                 2.8111,                 1.5549,              0.0003505,              0.0003505,              0.0003505
                     10,                 1.6538,                 2.0243,                0.95631,                0.64619,                0.54783,                0.63354,                0.29705,                 2.2967,                 2.6794,                 1.6086,             0.00034431,             0.00034431,             0.00034431
                     11,                 1.6632,                 1.8623,                0.94639,                0.61506,                 0.5757,                0.62981,                0.27673,                 2.3364,                 2.5631,                 1.6057,             0.00033813,             0.00033813,             0.00033813
                     12,                 1.6002,                 1.7931,                0.93803,                0.68427,                 0.5388,                 0.6437,                0.30856,                 2.3196,                 2.4739,                  1.681,             0.00033194,             0.00033194,             0.00033194
                     13,                 1.6579,                 1.7072,                0.95417,                0.66809,                0.62728,                0.64501,                0.30413,                  2.342,                 2.2314,                 1.7187,             0.00032575,             0.00032575,             0.00032575
                     14,                 1.5501,                 1.5926,                0.93823,                0.65791,                0.59143,                0.67123,                0.31938,                 2.3902,                 2.1591,                 1.7659,             0.00031956,             0.00031956,             0.00031956
                     15,                 1.5972,                 1.5785,                0.94438,                0.72494,                0.67647,                0.70763,                0.33586,                 2.4565,                 1.9035,                 1.8713,             0.00031338,             0.00031338,             0.00031338
                     16,                 1.5621,                 1.4299,                0.94191,                 0.7077,                0.66966,                0.70422,                0.32302,                 2.6031,                 1.7071,                 2.0685,             0.00030719,             0.00030719,             0.00030719
                     17,                   1.55,                 1.4446,                 0.9376,                0.69309,                0.67984,                0.69978,                0.32194,                 2.5029,                 1.7661,                 1.8874,               0.000301,               0.000301,               0.000301
                     18,                 1.5491,                 1.4215,                0.93494,                0.68463,                0.70678,                0.70393,                0.33678,                 2.5137,                 1.5658,                 1.9958,             0.00029481,             0.00029481,             0.00029481
                     19,                 1.5361,                 1.3685,                 0.9479,                0.70794,                0.67913,                0.70509,                0.32884,                 2.5664,                 1.5792,                 2.0774,             0.00028863,             0.00028863,             0.00028863
                     20,                 1.5255,                   1.36,                0.93358,                0.71205,                0.68418,                0.71522,                0.34037,                 2.3979,                 1.6935,                 1.8516,             0.00028244,             0.00028244,             0.00028244
                     21,                 1.5395,                 1.3406,                0.94135,                0.72589,                0.70604,                 0.7267,                0.33443,                 2.4612,                 1.5494,                 1.9115,             0.00027625,             0.00027625,             0.00027625
                     22,                 1.5405,                  1.303,                0.94216,                0.69647,                0.69032,                0.71601,                0.33507,                  2.501,                 1.5789,                 1.9346,             0.00027006,             0.00027006,             0.00027006
                     23,                 1.5316,                 1.2557,                0.93674,                0.71439,                0.68759,                0.70126,                0.33253,                 2.4937,                 1.5359,                 1.9965,             0.00026388,             0.00026388,             0.00026388
                     24,                 1.5338,                 1.2995,                0.93613,                0.72511,                0.70484,                0.71962,                0.33727,                 2.5207,                 1.4887,                 1.9837,             0.00025769,             0.00025769,             0.00025769
                     25,                 1.4704,                 1.2665,                0.93917,                0.74757,                0.71301,                0.71769,                 0.3347,                 2.5348,                 1.3501,                 2.0778,              0.0002515,              0.0002515,              0.0002515
                     26,                 1.5083,                 1.2196,                0.93326,                0.71513,                 0.6749,                0.72009,                0.34173,                 2.5523,                 1.4639,                 2.0408,             0.00024531,             0.00024531,             0.00024531
                     27,                 1.4717,                 1.1766,                0.91336,                0.72527,                0.69579,                0.70872,                0.34539,                 2.5448,                 1.4337,                 2.0681,             0.00023912,             0.00023912,             0.00023912
                     28,                 1.4751,                  1.238,                 0.9224,                0.71117,                0.70886,                0.71406,                 0.3404,                 2.4593,                 1.4802,                 1.9586,             0.00023294,             0.00023294,             0.00023294
