                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7048,                 6.1721,                 1.3272,                      0,                      0,                      0,                      0,                 2.4133,                 5.2639,                   1.14,                2.4e-05,                2.4e-05,                2.4e-05
                      2,                 2.4111,                 5.8781,                 1.1978,                      0,                      0,                      0,                      0,                 2.3368,                   5.24,                 1.1292,             5.1196e-05,             5.1196e-05,             5.1196e-05
                      3,                 2.1698,                 5.4528,                 1.0503,                      0,                      0,                      0,                      0,                  2.216,                 5.1651,                 1.1127,             7.7525e-05,             7.7525e-05,             7.7525e-05
                      4,                 2.1381,                  4.972,                0.97658,                      0,                      0,                      0,                      0,                 2.1454,                 5.0806,                 1.0895,             0.00010299,             0.00010299,             0.00010299
                      5,                 2.0493,                 4.3702,                0.96227,                0.08807,                 0.0978,                0.07793,                 0.0326,                  1.958,                 4.8585,                 1.0716,             0.00012758,             0.00012758,             0.00012758
                      6,                 2.0246,                 3.6963,                0.94943,                0.07025,                0.30385,                0.14573,                0.06068,                 2.0357,                 4.5245,                 1.0597,             0.00015132,             0.00015132,             0.00015132
                      7,                 1.9411,                 3.1746,                0.91863,                0.18632,                0.41701,                0.26714,                0.11218,                 1.9555,                 4.3665,                 1.0514,             0.00017418,             0.00017418,             0.00017418
                      8,                  1.936,                 2.8655,                0.94958,                0.22532,                0.44972,                0.28977,                0.12994,                 1.9629,                 4.2495,                 1.0502,             0.00019618,             0.00019618,             0.00019618
                      9,                 1.8695,                 2.7048,                0.92471,                0.25679,                0.54316,                0.33785,                0.17024,                 1.8895,                  4.115,                 1.0439,             0.00021731,             0.00021731,             0.00021731
                     10,                 1.7728,                 2.4561,                0.92971,                0.12071,                0.71651,                0.47121,                0.20592,                 1.9244,                 3.6532,                 1.0856,             0.00023758,             0.00023758,             0.00023758
                     11,                 1.8094,                 2.3109,                0.93812,                0.10908,                0.71916,                0.53857,                0.24325,                 1.9694,                 3.5362,                 1.0956,             0.00025698,             0.00025698,             0.00025698
                     12,                 1.8053,                 2.1554,                0.92511,                0.16883,                0.75054,                0.57154,                0.26234,                 1.9789,                 3.4762,                 1.1307,             0.00027551,             0.00027551,             0.00027551
                     13,                 1.7901,                 1.9907,                0.94754,                0.17583,                0.70294,                0.56812,                0.27136,                 2.0719,                 3.4015,                 1.1722,             0.00029317,             0.00029317,             0.00029317
                     14,                 1.6933,                 1.8029,                0.93564,                 0.1674,                0.73341,                0.60223,                0.29609,                 2.0849,                 3.2237,                 1.2125,             0.00030998,             0.00030998,             0.00030998
                     15,                 1.7181,                 1.7544,                0.92663,                0.14491,                 0.7359,                0.65186,                0.30472,                 2.0799,                  2.956,                 1.2184,             0.00031338,             0.00031338,             0.00031338
                     16,                 1.6311,                 1.6135,                0.92039,                0.15545,                0.74115,                0.66395,                0.29753,                 2.0783,                 2.8377,                 1.2145,             0.00030719,             0.00030719,             0.00030719
                     17,                 1.6489,                 1.5788,                0.92567,                0.16805,                0.79599,                0.66927,                0.30847,                 2.0752,                 2.8014,                 1.2165,               0.000301,               0.000301,               0.000301
                     18,                 1.5669,                 1.4932,                0.91011,                0.75313,                0.36131,                0.68734,                 0.2857,                 2.1721,                  2.511,                 1.2806,             0.00029481,             0.00029481,             0.00029481
                     19,                 1.6174,                 1.4261,                0.92986,                0.73856,                0.58216,                0.66886,                0.30236,                 2.2007,                 2.1972,                 1.3552,             0.00028863,             0.00028863,             0.00028863
                     20,                 1.6059,                 1.3845,                0.91825,                0.73696,                0.46143,                0.68641,                0.31184,                 2.1313,                  2.269,                 1.3364,             0.00028244,             0.00028244,             0.00028244
                     21,                 1.6374,                 1.3506,                0.92825,                 0.7201,                0.60907,                0.68604,                0.32466,                 2.1578,                 2.0025,                 1.3691,             0.00027625,             0.00027625,             0.00027625
                     22,                  1.551,                 1.2633,                0.91844,                0.69834,                0.66534,                0.68881,                0.32799,                 2.1914,                 1.8228,                 1.3953,             0.00027006,             0.00027006,             0.00027006
                     23,                 1.4956,                  1.236,                 0.9109,                0.68606,                0.65807,                0.68477,                0.30785,                 2.2096,                 1.7663,                 1.4238,             0.00026388,             0.00026388,             0.00026388
                     24,                 1.5078,                 1.2238,                0.90997,                0.70163,                0.64149,                0.68924,                0.31637,                 2.1866,                 1.8736,                 1.3585,             0.00025769,             0.00025769,             0.00025769
                     25,                 1.4796,                 1.2656,                0.90475,                0.67765,                0.62481,                0.67219,                 0.3042,                   2.19,                 1.7226,                 1.3697,              0.0002515,              0.0002515,              0.0002515
                     26,                 1.5233,                 1.2468,                0.91109,                0.67926,                0.64198,                0.69664,                0.31844,                 2.1503,                 1.5651,                 1.3309,             0.00024531,             0.00024531,             0.00024531
                     27,                 1.5109,                 1.2123,                0.91486,                0.70007,                0.67914,                0.69548,                 0.3144,                 2.1852,                 1.4744,                 1.4106,             0.00023912,             0.00023912,             0.00023912
                     28,                 1.5065,                 1.1984,                0.90945,                0.68227,                0.68143,                0.71127,                0.33361,                 2.2284,                 1.2874,                 1.4786,             0.00023294,             0.00023294,             0.00023294
                     29,                  1.552,                 1.2255,                0.91351,                0.69154,                0.67995,                0.69642,                0.32549,                   2.26,                 1.3299,                 1.4958,             0.00022675,             0.00022675,             0.00022675
                     30,                 1.4113,                 1.2088,                 0.9184,                 0.7172,                0.68381,                0.70679,                 0.3251,                 2.2561,                  1.304,                 1.4763,             0.00022056,             0.00022056,             0.00022056
                     31,                 1.4885,                 1.1832,                0.92019,                 0.6778,                0.62993,                0.68323,                0.32403,                 2.2538,                 1.4011,                 1.4961,             0.00021437,             0.00021437,             0.00021437
                     32,                 1.4803,                 1.1627,                0.89604,                0.70598,                0.67624,                0.70728,                0.32991,                 2.2903,                 1.2178,                 1.5449,             0.00020819,             0.00020819,             0.00020819
                     33,                 1.4541,                  1.106,                0.91616,                0.69089,                0.70004,                0.70079,                0.32621,                 2.2479,                 1.2052,                 1.5214,               0.000202,               0.000202,               0.000202
                     34,                 1.4583,                 1.1118,                0.89797,                0.69852,                0.69794,                 0.7041,                0.31529,                 2.2312,                 1.2487,                 1.4791,             0.00019581,             0.00019581,             0.00019581
                     35,                 1.4439,                 1.1146,                0.90268,                0.69645,                0.70004,                0.69531,                 0.3191,                 2.2376,                 1.2076,                 1.5025,             0.00018963,             0.00018963,             0.00018963
                     36,                 1.4395,                 1.1077,                0.88522,                0.70653,                0.70881,                0.70823,                0.32824,                 2.2431,                 1.1816,                 1.5299,             0.00018344,             0.00018344,             0.00018344
                     37,                 1.4346,                 1.0777,                0.89708,                0.71979,                0.69837,                0.72106,                0.33336,                  2.242,                 1.1445,                 1.5016,             0.00017725,             0.00017725,             0.00017725
                     38,                 1.4114,                 1.1086,                0.89996,                0.68212,                 0.6934,                0.71831,                0.33626,                 2.2337,                 1.1736,                 1.5029,             0.00017106,             0.00017106,             0.00017106
                     39,                 1.4846,                 1.0955,                0.89297,                0.68751,                0.71063,                0.71742,                0.33933,                 2.2202,                  1.199,                 1.5119,             0.00016488,             0.00016488,             0.00016488
                     40,                 1.4559,                 1.0806,                0.89323,                0.69806,                0.71135,                0.71728,                0.32259,                 2.2434,                 1.1842,                 1.4984,             0.00015869,             0.00015869,             0.00015869
                     41,                  1.408,                 1.0796,                0.88754,                0.69927,                0.71528,                0.72587,                0.33372,                 2.2342,                  1.139,                 1.5056,              0.0001525,              0.0001525,              0.0001525
                     42,                 1.4637,                 1.0817,                0.89712,                0.71376,                0.71089,                0.72936,                 0.3371,                 2.2058,                 1.1791,                 1.4953,             0.00014631,             0.00014631,             0.00014631
                     43,                 1.4207,                 1.0278,                0.89438,                0.71221,                0.70342,                0.73096,                0.33893,                  2.253,                 1.1898,                 1.5491,             0.00014013,             0.00014013,             0.00014013
                     44,                 1.3853,                 1.0452,                0.89402,                0.72371,                0.72251,                0.73395,                0.33734,                 2.2288,                 1.1735,                 1.5095,             0.00013394,             0.00013394,             0.00013394
                     45,                 1.4017,                 1.0051,                0.90313,                0.72082,                0.70686,                  0.726,                0.33643,                  2.204,                 1.1814,                 1.4769,             0.00012775,             0.00012775,             0.00012775
                     46,                 1.3868,                  1.023,                0.88378,                0.69938,                0.73441,                0.73115,                0.33367,                 2.1969,                 1.1795,                 1.4736,             0.00012156,             0.00012156,             0.00012156
                     47,                  1.422,                 1.0755,                0.88315,                0.71379,                0.71906,                0.72515,                0.32892,                 2.2227,                 1.2088,                 1.4858,             0.00011538,             0.00011538,             0.00011538
                     48,                   1.37,                 1.0332,                0.88613,                0.73203,                 0.7211,                0.73377,                0.32611,                 2.2272,                 1.1802,                 1.5155,             0.00010919,             0.00010919,             0.00010919
                     49,                 1.3681,                 1.0167,                0.90524,                0.73794,                0.71156,                0.72923,                0.32595,                 2.2337,                  1.144,                  1.515,               0.000103,               0.000103,               0.000103
                     50,                 1.3525,                0.98189,                0.89737,                0.73479,                0.69639,                0.72998,                0.31639,                 2.2558,                 1.1556,                 1.5319,             9.6813e-05,             9.6813e-05,             9.6813e-05
                     51,                 1.3317,                0.96659,                0.88331,                0.72811,                0.72054,                  0.726,                0.32558,                 2.2531,                  1.138,                 1.5331,             9.0625e-05,             9.0625e-05,             9.0625e-05
                     52,                 1.3793,                0.98041,                0.88774,                0.72011,                0.70461,                0.71943,                0.33204,                 2.2809,                 1.1239,                 1.5727,             8.4437e-05,             8.4437e-05,             8.4437e-05
                     53,                 1.3794,                0.98491,                0.88905,                 0.7111,                0.71713,                0.71616,                0.32997,                 2.2702,                 1.1327,                 1.5839,              7.825e-05,              7.825e-05,              7.825e-05
                     54,                 1.3859,                0.97344,                0.89229,                0.72316,                0.72337,                0.72677,                0.33065,                  2.259,                 1.1082,                 1.5832,             7.2063e-05,             7.2063e-05,             7.2063e-05
                     55,                 1.4009,                 1.2321,                0.90103,                 0.7185,                0.71217,                0.72003,                0.33047,                 2.2698,                 1.1015,                 1.5771,             6.5875e-05,             6.5875e-05,             6.5875e-05
