                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3747,                 1.0567,                0.92539,                 0.7048,                0.69676,                0.72119,                0.34576,                 2.7364,                 1.1489,                 2.4849,             0.00019581,             0.00019581,             0.00019581
                     35,                 1.3877,                 1.0963,                0.91508,                0.71025,                0.70255,                0.72981,                0.34837,                 2.6928,                 1.1328,                 2.4665,             0.00018963,             0.00018963,             0.00018963
                     36,                 1.3895,                 1.0783,                0.92802,                0.70371,                 0.7001,                 0.7177,                0.34163,                  2.633,                 1.1783,                 2.3846,             0.00018344,             0.00018344,             0.00018344
                     37,                  1.394,                 1.0873,                0.93109,                0.69527,                0.69785,                0.71455,                0.34295,                 2.6893,                 1.1773,                 2.3873,             0.00017725,             0.00017725,             0.00017725
                     38,                 1.4011,                 1.0613,                0.93898,                 0.6928,                 0.6943,                0.71435,                0.32923,                 2.6904,                 1.1807,                 2.3633,             0.00017106,             0.00017106,             0.00017106
                     39,                 1.3488,                 1.0398,                0.91861,                0.71919,                 0.7148,                0.72512,                0.34216,                 2.6914,                  1.162,                 2.3479,             0.00016488,             0.00016488,             0.00016488
                     40,                 1.3966,                 1.0771,                0.93159,                 0.7289,                0.73389,                0.72329,                0.34787,                 2.6513,                 1.1431,                 2.3264,             0.00015869,             0.00015869,             0.00015869
                     41,                 1.3771,                 1.0513,                0.92215,                0.72585,                0.71727,                0.72281,                0.34923,                 2.6984,                 1.1146,                 2.3832,              0.0001525,              0.0001525,              0.0001525
                     42,                 1.3667,                   1.06,                0.91773,                0.72607,                0.71376,                0.72204,                0.34233,                 2.6912,                 1.1403,                 2.3938,             0.00014631,             0.00014631,             0.00014631
                     43,                 1.3524,                 1.0088,                0.91537,                0.71562,                0.70026,                0.71818,                0.34949,                 2.7002,                 1.1198,                 2.4215,             0.00014013,             0.00014013,             0.00014013
                     44,                  1.352,                 1.0451,                0.92589,                0.70682,                0.69365,                0.71123,                 0.3442,                 2.6871,                 1.1198,                 2.4177,             0.00013394,             0.00013394,             0.00013394
                     45,                 1.3438,                0.99871,                 0.9256,                0.72412,                0.71615,                0.72583,                0.35179,                  2.696,                 1.0734,                 2.4302,             0.00012775,             0.00012775,             0.00012775
                     46,                 1.3214,                 1.0078,                0.91631,                0.72787,                0.71097,                 0.7337,                0.35382,                 2.7306,                 1.0775,                 2.4418,             0.00012156,             0.00012156,             0.00012156
                     47,                 1.3399,                 1.0135,                0.92199,                0.71035,                0.72524,                0.72771,                0.34696,                  2.725,                 1.0584,                 2.4183,             0.00011538,             0.00011538,             0.00011538
