                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2384,                0.68886,                0.87858,                0.70221,                0.71146,                0.70617,                 0.3407,                 2.7454,                 1.1756,                 2.3484,             0.00018963,             0.00018963,             0.00018963
                     36,                 1.2683,                0.70537,                0.87877,                0.71334,                0.71218,                0.71499,                0.34572,                 2.7619,                 1.1157,                 2.3277,             0.00018344,             0.00018344,             0.00018344
                     37,                 1.2359,                0.69925,                0.87213,                0.71953,                 0.7206,                0.71049,                0.33469,                 2.7867,                 1.0767,                 2.3456,             0.00017725,             0.00017725,             0.00017725
                     38,                 1.2212,                0.68223,                0.87208,                  0.723,                0.72219,                0.71495,                0.33125,                 2.7984,                 1.2078,                  2.359,             0.00017106,             0.00017106,             0.00017106
                     39,                 1.2489,                0.69838,                0.86493,                0.71311,                0.71899,                0.71027,                0.33539,                 2.8108,                 1.1551,                 2.4178,             0.00016488,             0.00016488,             0.00016488
                     40,                 1.2268,                0.68167,                0.87198,                0.71118,                0.71667,                0.71855,                0.33149,                 2.7896,                 1.0756,                  2.423,             0.00015869,             0.00015869,             0.00015869
                     41,                  1.234,                 0.6799,                 0.8714,                0.70821,                0.70797,                0.71614,                0.32801,                  2.821,                 1.0503,                 2.4607,              0.0001525,              0.0001525,              0.0001525
                     42,                 1.2399,                0.67361,                0.87311,                0.72503,                 0.7131,                0.71703,                0.32639,                 2.8181,                 1.0696,                 2.4574,             0.00014631,             0.00014631,             0.00014631
                     43,                 1.2242,                0.66319,                0.86449,                0.72715,                0.71891,                0.71313,                0.33287,                 2.8062,                 1.0475,                 2.4561,             0.00014013,             0.00014013,             0.00014013
                     44,                 1.2444,                0.67143,                0.86291,                0.70704,                0.70757,                0.71013,                0.34111,                 2.8005,                 1.0079,                 2.4557,             0.00013394,             0.00013394,             0.00013394
                     45,                 1.2088,                0.67256,                0.86416,                0.71128,                  0.709,                 0.7098,                0.33163,                 2.8331,                 1.0395,                 2.4903,             0.00012775,             0.00012775,             0.00012775
                     46,                 1.2067,                0.65324,                0.87335,                0.71955,                0.71056,                0.70897,                0.33323,                 2.8358,                 1.0953,                 2.5029,             0.00012156,             0.00012156,             0.00012156
                     47,                 1.1996,                 0.6518,                0.86637,                0.70978,                0.70643,                0.70365,                0.33434,                 2.8544,                 1.0868,                 2.5156,             0.00011538,             0.00011538,             0.00011538
                     48,                 1.1889,                0.64907,                0.85903,                0.72174,                0.70658,                0.70171,                0.32785,                 2.8226,                 1.0668,                 2.4853,             0.00010919,             0.00010919,             0.00010919
                     49,                 1.1968,                0.65974,                 0.8575,                0.71071,                0.70755,                 0.7096,                0.33004,                 2.8346,                 1.0354,                 2.5251,               0.000103,               0.000103,               0.000103
                     50,                 1.2274,                 0.6715,                0.85853,                0.72134,                0.72143,                0.72122,                 0.3368,                 2.8353,                 1.0425,                 2.5478,             9.6813e-05,             9.6813e-05,             9.6813e-05
                     51,                 1.2037,                0.64179,                0.87078,                0.71023,                 0.7104,                0.71314,                 0.3409,                 2.8304,                 1.0271,                 2.5472,             9.0625e-05,             9.0625e-05,             9.0625e-05
                     52,                  1.239,                0.67642,                0.86444,                0.70148,                0.70144,                0.70771,                0.33419,                 2.8409,                  1.015,                 2.5193,             8.4437e-05,             8.4437e-05,             8.4437e-05
                     53,                 1.2378,                0.66627,                0.85775,                0.70166,                0.69832,                0.70593,                0.33355,                 2.8448,                 1.0297,                  2.491,              7.825e-05,              7.825e-05,              7.825e-05
                     54,                 1.1663,                0.62907,                0.86449,                0.69805,                 0.7003,                 0.7081,                 0.3376,                 2.8125,                 1.0615,                  2.495,             7.2063e-05,             7.2063e-05,             7.2063e-05
                     55,                 1.2275,                0.72655,                0.88069,                0.70857,                0.71631,                0.71732,                0.34124,                  2.805,                 1.0789,                 2.5098,             6.5875e-05,             6.5875e-05,             6.5875e-05
                     56,                 1.2454,                 0.7182,                0.87593,                0.73157,                0.72682,                0.72357,                0.33211,                 2.8176,                  1.055,                 2.5215,             5.9688e-05,             5.9688e-05,             5.9688e-05
                     57,                 1.2006,                0.69862,                0.87021,                0.72616,                 0.7192,                0.72074,                0.33461,                 2.8297,                 1.0304,                 2.5594,               5.35e-05,               5.35e-05,               5.35e-05
                     58,                 1.1902,                0.68285,                0.87828,                0.72505,                0.72018,                 0.7194,                0.34145,                 2.8309,                 1.0822,                 2.5638,             4.7312e-05,             4.7312e-05,             4.7312e-05
                     59,                 1.1955,                0.68827,                0.87368,                0.71272,                0.71125,                0.71107,                0.33909,                 2.8365,                 1.0832,                 2.5755,             4.1125e-05,             4.1125e-05,             4.1125e-05
                     60,                 1.1824,                 0.6756,                 0.8523,                 0.7131,                0.71261,                0.71156,                0.33898,                 2.8344,                 1.0745,                 2.5691,             3.4938e-05,             3.4938e-05,             3.4938e-05
                     61,                 1.2254,                0.69587,                0.86009,                0.71826,                 0.7178,                0.71301,                0.34195,                 2.8381,                 1.0769,                 2.5776,              2.875e-05,              2.875e-05,              2.875e-05
                     62,                 1.2116,                0.67649,                0.85903,                0.71329,                0.71247,                0.71283,                0.33786,                 2.8474,                  1.081,                 2.5785,             2.2562e-05,             2.2562e-05,             2.2562e-05
                     63,                 1.2115,                 0.6854,                0.86731,                0.71318,                0.71235,                0.71241,                0.33222,                 2.8584,                 1.0652,                 2.5771,             1.6375e-05,             1.6375e-05,             1.6375e-05
                     64,                 1.1829,                0.68235,                0.86496,                0.71931,                0.71714,                0.71371,                0.33228,                 2.8557,                 1.0956,                 2.5657,             1.0188e-05,             1.0188e-05,             1.0188e-05
